month,member_casual,num_rides
2020-04-01T00:00:00Z,casual,23570
2020-04-01T00:00:00Z,member,61056
2020-05-01T00:00:00Z,casual,86699
2020-05-01T00:00:00Z,member,113083
2020-06-01T00:00:00Z,casual,154342
2020-06-01T00:00:00Z,member,187727
2020-07-01T00:00:00Z,casual,268286
2020-07-01T00:00:00Z,member,280680
2020-08-01T00:00:00Z,casual,288075
2020-08-01T00:00:00Z,member,330584
2020-09-01T00:00:00Z,casual,229748
2020-09-01T00:00:00Z,member,300294
2020-10-01T00:00:00Z,casual,144350
2020-10-01T00:00:00Z,member,241926
2020-11-01T00:00:00Z,casual,87819
2020-11-01T00:00:00Z,member,170751
2020-12-01T00:00:00Z,casual,29962
2020-12-01T00:00:00Z,member,101067
2021-01-01T00:00:00Z,casual,18095
2021-01-01T00:00:00Z,member,78635
2021-02-01T00:00:00Z,casual,10073
2021-02-01T00:00:00Z,member,39335
2021-03-01T00:00:00Z,casual,83922
2021-03-01T00:00:00Z,member,144405
